"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"674. Marcella";"2016–2021";"TV-MA";7,4;"37K";"Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her."
"675. Special OPS";"2020–";"TV-MA";8,6;"37K";"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades."
"676. Ezel";"2009–2011";"TV-14";8,7;"37K";"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
"677. Red Dwarf";"1988–";"TV-14";8,4;"37K";"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf."
"678. Legacies";"2018–2022";"TV-14";7,2;"37K";"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world."
"679. Party Down";"2009–";"TV-14";8,2;"37K";"A group of actors move to Los Angeles to make it big, but end up working as caterers."
"680. The Tomorrow People";"2013–2014";"TV-14";7,2;"37K";"Stephen helps genetically advanced teenagers hide from a paramilitary group hunting them down."
"681. Firefly Lane";"2021–2023";"TV-MA";7,7;"37K";"Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties."
"682. The Protector";"2018–2020";"TV-MA";6,4;"37K";"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
"683. The Society";"2019";"TV-MA";7,1;"37K";"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive."
"684. The Mechanism";"2018–2019";"TV-MA";8;"37K";"Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies."
"685. Hey Arnold!";"1996–2004";"TV-Y7";7,6;"37K";"The everyday life of Arnold, a fourth-grader in the city of Hillwood, Washington, who lives in a multi-racial boarding house with his grandparents and a motley assortment of friends and neighbors."
"686. Modern Love";"2019–2021";"TV-MA";7,9;"37K";"TV series based on the New York Times column that explores relationships, love, and the human connection."
"687. Inside Man";"2022";"TV-MA";6,6;"37K";"A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way."
"688. Episodes";"2011–2017";"TV-MA";7,8;"37K";"A couple of British TV producers move to Hollywood to export their most popular series, and find it is not what they expected."
"689. Quantum Leap";"1989–1993";"TV-PG";8,2;"37K";"During an experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the lives of different people, sorting out their problems and changing history in hopes of getting back to his own life in the present."
"690. Ally McBeal";"1997–2002";"TV-PG";6,9;"37K";"Follows the personal and professional life of lawyer Ally."
"691. The Cosby Show";"1984–1992";"TV-G";7,4;"36K";"The goings-on in the life of a successful African-American family."
"692. Legend of the Seeker";"2008–2010";"TV-14";7,6;"36K";"After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny."
"693. Into the Night";"2020–2021";"TV-MA";7;"36K";"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night."
"694. Poldark";"2015–2019";"TV-14";8,3;"36K";"Ross Poldark returns home after the American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it."
"695. Percy Jackson and the Olympians";"2023–";"TV-PG";7,1;"36K";"Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods."
"696. Dragon Ball Super";"2015–2018";"TV-PG";8,3;"36K";"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
"697. Outer Range";"2022–";"TV-MA";7,1;"36K";"A rancher fighting for his land and family discovers an unfathomable mystery at the edge of Wyoming's wilderness."
"698. Bleach: Thousand-Year Blood War";"2022–";"TV-MA";9;"36K";"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town."
"699. Rules of Engagement";"2007–2013";"TV-PG";7,4;"36K";"Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage."
"700. Haikyu!!";"2014–2020";"TV-14";8,7;"36K";"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club."
"701. The Boondocks";"2005–2014";"TV-MA";8,5;"36K";"Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs."
"702. Sugarland";"N/A";"N/A";8,3;"36K";"Sugerland is a Tv series that tells the stories of a land with more than 180 characters from a crazy person who knows a lot but acts like wise people to a wise man who acts like a crazy."
"703. Broad City";"2014–2019";"TV-14";8,4;"36K";"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time."
"704. The Bugs Bunny Show";"1960–1975";"TV-G";8,6;"36K";"TV series featuring the classic Looney Tunes animated shorts."
"705. Living with Yourself";"2019";"TV-MA";7,1;"36K";"An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself."
"706. Derek";"2012–2014";"TV-MA";8,1;"36K";"Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents."
"707. Spider-Man: The Animated Series";"1994–1998";"TV-Y7";8,4;"36K";"A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life."
"708. The Midnight Club";"2022";"TV-MA";6,5;"35K";"At a hospice for terminally ill young adults, eight patients come together every night at midnight to tell each other stories - and make a pact that the next of them to die will give the group a sign from the beyond."
"709. Halt and Catch Fire";"2014–2017";"TV-14";8,4;"35K";"Follows some players in the 80s technological revolution that lead to information society."
"710. Life";"2007–2009";"TV-14";8,3;"35K";"Detective Charlie Crews was framed, convicted and cleared for a crime he didn't commit. Twelve years of hard time have given him a unique philosophy on life and criminal investigation. Now he's readjusting to a world that's moved on."
"711. Abbott Elementary";"2021–";"TV-PG";8,2;"35K";"A workplace comedy centered around a group of dedicated teachers - and an oblivious principal - in a Philadelphia public school where, despite the odds stacked against them, they are determined to help their students succeed in life."
"712. DuckTales";"1987–1990";"TV-G";8;"35K";"Huey, Dewey, and Louie are in for an epic surprise when they meet their wealthy but reclusive uncle, Scrooge McDuck. The family embark on globe-trotting adventures and treasure hunts, uncover family secrets, and face dangerous enemies."
"713. North & South";"2004";"TV-PG";8,6;"35K";"North and South is a four-part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle-class southerner who is forced to move to the northern town of Milton."
"714. Bad Sisters";"2022–";"TV-MA";8,3;"35K";"The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another."
"715. The Mindy Project";"2012–2017";"TV-14";7,5;"35K";"A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office."
"716. Black Clover";"2017–2021";"TV-PG";8,2;"35K";"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus."
"717. It's Okay to Not Be Okay";"2020";"TV-MA";8,6;"35K";"An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths."
"718. JoJo's Bizarre Adventure";"2012–";"TV-14";8,5;"35K";"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
"719. Babylon 5";"1993–1998";"TV-PG";8,4;"35K";"In the mid 23rd century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years."
"720. Dark Angel";"2000–2002";"TV-14";7,3;"35K";"A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest."
"721. Bored to Death";"2009–2011";"TV-MA";7,9;"35K";"A well-meaning but struggling writer decides to lead a sort of double life by pretending to be a private detective using the methods he read about in old detective novels."
"722. Black Summer";"2019–2021";"TV-MA";6,6;"35K";"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
"723. Queen of the South";"2016–2021";"TV-MA";8;"34K";"Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder."
"724. An Idiot Abroad";"2010–2012";"TV-14";8,3;"34K";"British comedy duo Ricky Gervais and Stephen Merchant send their simple and closed-minded friend Karl Pilkington on a trip around the world to experience a variety of people and cultures."
"725. Beavis and Butt-Head";"1993–2011";"TV-14";7,5;"34K";"Animated MTV series about two teenage heavy-metal music fans who occasionally do idiotic things because they're bored. For them, everything is ""cool"" or ""sucks."""
"726. Evil";"2019–2024";"TV-14";7,8;"34K";"A skeptical clinical psychologist joins a priest-in-training and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural's at work."
"727. Man vs. Bee";"2022";"TV-PG";6,7;"34K";"A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?"
"728. Willow";"2022–2023";"TV-14";5,7;"34K";"Twenty years after vanquishing the wicked queen Bavmorda, the sorcerer Willow Ufgood leads a group of misfits on a dangerous rescue mission into the unknown."
"729. QI";"2003–";"TV-PG";8,6;"34K";"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
"730. Citadel";"2023–";"TV-14";6,2;"34K";"Global spy agency Citadel has fallen, and its agents' memories were wiped clean. Now the powerful syndicate, Manticore, is rising in the void. Can the Citadel agents recollect their past and summon the strength to fight back?"
"731. Endeavour";"2012–2023";"TV-14";8,6;"34K";"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford."
"732. Strike Back";"2010–2020";"TV-MA";8,1;"34K";"Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe."
"733. The Filthy Frank Show";"2011–2017";"TV-MA";9,2;"34K";"Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans."
"734. Rise of Empires: Ottoman";"2020–2022";"TV-MA";7,9;"34K";"Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries."
"735. The Order";"2019–2020";"TV-MA";6,7;"33K";"Out to avenge his mother's death, a college student pledges to a secret order and lands in a war between werewolves and practitioners of dark magic."
"736. S.W.A.T.";"2017–";"TV-14";7,2;"33K";"Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles."
"737. The Resident";"2018–2023";"TV-14";7,8;"33K";"A group of doctors at Chastain Memorial Hospital face personal and professional challenges on a daily basis."
"738. SEAL Team";"2017–2024";"TV-14";7,8;"33K";"The lives of the elite Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions the United States of America can ask."
"739. American Vandal";"2017–2018";"TV-MA";8,1;"33K";"A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images."
"740. Lost Girl";"2010–2016";"TV-MA";7,6;"33K";"When a succubus finds it difficult to adapt with her unusual traits inspite of being born in a human family, she sets off on a journey to find out the truth of her origin."
"741. Suburgatory";"2011–2014";"TV-PG";7,2;"33K";"Tessa Altman is used to the big city, but when her dad moves her away, she has to adapt to her new suburban life in Chatswin."
"742. Behzat Ç: An Ankara Detective Story";"2010–2019";"TV-14";8,9;"33K";"An inharmonious police team in Ankara Police Force and its discredited police chief fight crime."
"743. Pose";"2018–2021";"TV-MA";8,6;"33K";"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism."
"744. Pinky and the Brain";"1995–1998";"TV-Y";7,8;"33K";"Pinky and Brain are genetically enhanced laboratory mice who reside in the research facility. Brain is self-centered and scheming; Pinky is good-natured but feeble-minded. In each episode, Brain devises a new plan to take over the world."
"745. Cursed";"2020";"TV-MA";6;"33K";"A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword."
"746. Insatiable";"2018–2019";"TV-MA";6,5;"33K";"A disgraced, dissatisfied civil lawyer-turned-beauty pageant coach takes on a vengeful, bullied teenager as his client and has no idea what he's about to unleash upon the world."
"747. The Good Fight";"2017–2022";"TV-MA";8,3;"33K";"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm."
"748. Flames";"2018–2023";"TV-14";8,9;"33K";"A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction."
"749. Life on Mars";"2006–2007";"TV-14";8,4;"33K";"After a near-fatal car accident, smart, savvy, sharp-suited detective Sam is mysteriously transported back to 1973. Confused by his new surroundings, Sam tries to return to the present, but the police force of long ago needs his help."
"750. My Name";"2021";"TV-MA";7,8;"33K";"The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death."
"751. Lilyhammer";"2012–2014";"TV-MA";7,9;"32K";"A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates."
"752. Kim Possible";"2002–2007";"TV-G";7,2;"32K";"A high school cheerleader and her clumsy best friend balance their duties as global crime-fighters with the typical challenges of adolescence."
"753. Sweet Home";"2020–";"TV-MA";7,3;"32K";"Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late."
"754. Dharma & Greg";"1997–2002";"TV-PG";6,4;"32K";"A free-spirited yoga instructor finds true love in a conservative lawyer and they get married on the first date. Though they are polar opposites, he fulfills her need of stability and she fulfills his need of optimism."
"755. The Deuce";"2017–2019";"TV-MA";8,1;"32K";"A look at life in New York City during the 1970s and '80s, when porn and prostitution were rampant in Manhattan."
"756. Hercules: The Legendary Journeys";"1995–1999";"TV-G";6,5;"32K";"Hercules is half-man, half-god and a hero of fantastic strength. After his malevolent stepmother, Hera, kills his wife and children, he wanders about Earth with mortal best friend Iolaus, fighting evil and trying to overcome his loss."
"757. Anger Management";"2012–2014";"TV-14";6,6;"32K";"Ex-baseball-player Charlie is an anger-management therapist who has small-group sessions at home, an OCD teen daughter, an ex-wife, and a sex-buddy/therapist."
"758. Mythic Quest";"2020–";"TV-MA";7,7;"32K";"The head of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top."
"759. The Exorcist";"2016–2018";"TV-14";7,9;"32K";"Follows two priests dealing with cases of a demonic presence targeting a family and a foster home."
"760. Covert Affairs";"2010–2014";"TV-PG";7,3;"32K";"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruitment might have to do with her last boyfriend rather than her talent."
"761. Call the Midwife";"2012–";"TV-PG";8,6;"32K";"Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s."
"762. Damages";"2007–2012";"TV-MA";8,1;"32K";"A law school graduate becomes the protégée of a successful high-stakes litigator."
"763. Cold Case";"2003–2010";"TV-14";7,6;"32K";"The Philadelphia homicide squad's lone female detective finds her calling when she's assigned ""cold cases,"" older crimes that have never been solved."
"764. Vice Principals";"2016–2018";"TV-MA";8;"32K";"An overprotective father is obsessed with becoming a principal and competes against the popular vice principal. However, something happens that makes them work together to save the day."
"765. Keeping Up with the Kardashians";"2007–2021";"TV-14";2,9;"32K";"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney, Khloé, Kendall and Kylie."
"766. Why Women Kill";"2019–2021";"TV-MA";8,3;"31K";"An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages."
"767. Medium";"2005–2011";"TV-14";7,1;"31K";"Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps."
"768. Counterpart";"2017–2019";"TV-MA";8;"31K";"A hapless UN employee discovers that the agency he works for is hiding a gateway to a parallel dimension that's in a cold war with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides."
"769. Sex/Life";"2021–2023";"TV-MA";5,6;"31K";"A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild child past."
"770. Victoria";"2016–2019";"TV-PG";8,2;"31K";"The early life of Queen Victoria, from her ascension to the throne at the tender age of 18 to her courtship and marriage to Prince Albert."
"771. Spin City";"1996–2002";"TV-14";7,3;"31K";"Mike Flaherty, the Deputy Mayor of New York City, and his team of half-wits must constantly save the Mayor from embarrassment and the media. Mike is later succeeded by Charlie Crawford."
"772. Solar Opposites";"2020–";"TV-MA";8;"31K";"A family of aliens move to middle America, where they debate whether life is better there or on their home planet."
"773. The Fosters";"2013–2018";"TV-14";8;"31K";"Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children."
"774. Roswell";"1999–2002";"TV-14";7,5;"31K";"The lives of three young alien/human hybrids with extraordinary gifts in Roswell."
"775. Unforgotten";"2015–";"TV-MA";8,4;"31K";"London detectives investigate crimes from the past, unravelling secrets left buried for years."
"776. Inside Job";"2021–2022";"TV-MA";7,7;"31K";"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job."
"777. Snowfall";"2017–2023";"TV-MA";8,4;"31K";"A look at the early days of the crack cocaine epidemic in Los Angeles during the beginning of the 1980s."
"778. Mr Inbetween";"2018–2021";"TV-MA";8,7;"31K";"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
"779. Kyle XY";"2006–2009";"TV-14";7,5;"31K";"A family takes in a formerly institutionalized teen savant who is missing standard human behaviors such as anger, joy, and love."
"780. Helix";"2014–2015";"TV-PG";6,7;"31K";"A team of scientists are thrust into a potentially life-or-death situation when they arrive in the Arctic to secretly investigate what could be an outbreak of a strange disease in a secluded international research facility."
"781. Mumbai Diaries";"2021–";"TV-MA";8,6;"31K";"Set during the 2008 Mumbai attacks, it follows the staff of Bombay General Hospital and their travails during the fateful night of November 26, 2008."
"782. Batman Beyond";"1999–2001";"TV-Y7";8,1;"31K";"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham."
"783. Baywatch";"1989–2001";"TV-PG";5,4;"30K";"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis."
"784. Barbarians";"2020–2022";"TV-MA";7,2;"30K";"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
"785. The Missing";"2014–2016";"TV-14";8,2;"30K";"Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France."
"786. Young Rock";"2021–2023";"TV-PG";8,1;"30K";"A look at the formative years of superstar Dwayne 'The Rock' Johnson as he grows up through life."
"787. Miami Vice";"1984–1989";"TV-14";7,6;"30K";"-Resplendent with authentic 1980s music, fashion, and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami, Florida."
"788. StartUp";"2016–2018";"Not Rated";7,8;"30K";"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0."
"789. Forbrydelsen";"2007–2012";"TV-MA";8,4;"30K";"Police detective Sarah Lund investigates difficult cases with personal and political consequences."
"790. Akame ga Kill!";"2014";"TV-MA";7,8;"30K";"A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins."
"791. Dracula";"2013–2014";"TV-14";7,3;"30K";"Dracula travels to London, with dark plans for revenge against those who ruined his life centuries earlier. However, his plan is complicated when he falls in love with a woman who seems to be a reincarnation of his dead wife."
"792. Family Matters";"1989–1998";"TV-G";6,6;"30K";"The Winslow family deals with various misadventures, many of them caused by their pesky next-door neighbor, ultra-nerd Steve Urkel."
"793. Babylon Berlin";"2017–2025";"TV-MA";8,4;"30K";"Colognian commissioner Gereon Rath moves to Berlin, the epicenter of political and social changes in the Golden Twenties."
"794. Las Vegas";"2003–2008";"TV-14";7,4;"30K";"Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas."
"795. Borgen";"2010–2022";"TV-14";8,5;"30K";"A political drama about a prime minister's rise to power, and how power changes a prime minister."
"796. Ghosts";"2021–";"TV-PG";7,9;"30K";"A young couple, Sam and Jay, inherit a haunted mansion and, unaware of their invisible housemates, plan to turn it into a B&B. Their lives become much more complicated after a fall causes Sam to see the ghosts. Based on the UK series."
"797. The Tourist";"2022–2024";"TV-MA";7,1;"30K";"When a man wakes up in the Australian outback with no memory, he must use the few clues he has to discover his identity before his past catches up with him."
"798. The World at War";"1973–1974";"TV-PG";9,2;"30K";"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
"799. The Frog";"2020–2021";"Not Rated";8,1;"30K";"Ramin plans a robbery on his childhood classmate Noori who has become a mysterious rich man and that's just a beginning of a brutal journey."
"800. Chicago Med";"2015–";"TV-14";7,6;"30K";"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships."
"801. Violet Evergarden";"2018";"TV-14";8,4;"30K";"In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people."
"802. Alphas";"2011–2012";"TV-14";7,2;"30K";"Alphas is a science fiction drama focusing on a team that investigates people with supernatural abilities."
"803. My Wife and Kids";"2000–2005";"TV-PG";6,9;"30K";"Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream."
"804. Ethos";"2020";"TV-MA";8,5;"30K";"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will."
"805. Letterkenny";"2016–2023";"TV-MA";8,6;"30K";"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
"806. Victorious";"2010–2013";"TV-G";7;"30K";"Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts."
"807. Fuller House";"2016–2020";"TV-G";6,7;"29K";"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller."
"808. ZeroZeroZero";"2019–2020";"TV-MA";8,1;"29K";"A cocaine shipment makes its way to Europe, starting from the moment a powerful cartel of Italian criminals decides to buy it, to its journeys through Mexico, to its shipment across the Atlantic Ocean."
"809. First Kill";"2022";"TV-MA";6,5;"29K";"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter and both are ready to make their first kill."
"810. Nurse Jackie";"2009–2015";"TV-MA";7,8;"29K";"A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas."
"811. Murder, She Wrote";"1984–1996";"TV-PG";7,2;"29K";"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters."
"812. Berlin";"2023–";"TV-MA";7;"29K";"Back to his golden age before the events of ""Money Heist,"" Berlin and a masterful gang gather in Paris to plan one of his most ambitious robberies ever."
"813. Bluey";"2018–";"TV-Y";9,4;"29K";"The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations."
"814. Winning Time: The Rise of the Lakers Dynasty";"2022–2023";"TV-MA";8,3;"29K";"The professional and personal lives of the 1980s Los Angeles Lakers, one of sports' most revered and dominant dynasties - a team that defined an era, both on and off the court."
"815. Southland";"2009–2013";"TV-MA";8,5;"29K";"The lives of Police Officers working for the Los Angeles Police Department."
"816. Private Practice";"2007–2013";"TV-14";6,8;"29K";"A spin-off of the medical drama ""Grey's Anatomy"" centering on the life of neonatal surgeon Addison Montgomery."
"817. Magnum, P.I.";"1980–1988";"TV-PG";7,5;"29K";"The adventures of a Hawaii-based private investigator."
"818. Star Wars: Clone Wars";"2003–2005";"TV-Y7";7,8;"29K";"The events and battles of the Galactic Republic's last major war are recounted."
"819. The Closer";"2005–2012";"TV-14";7,8;"29K";"Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the city's toughest, most sensitive cases."
"820. The Carrie Diaries";"2013–2014";"TV-14";7;"29K";"Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan."
"821. Dragon Ball GT";"1996–1997";"TV-PG";6,8;"29K";"After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self."
"822. I Love Lucy";"1951–1957";"TV-Y";8,5;"29K";"The wife of a band leader constantly tries to become a star - in spite of her having no talent, and gets herself (along with her best friend) into the funniest predicaments."
"823. Inhumans";"2017";"TV-PG";4,9;"29K";"An isolated community of superhumans fight to protect themselves."
"824. The Glory";"2022–";"TV-MA";8,1;"29K";"A woman lives for absolute revenge against her childhood bullies who destroyed her life."
"825. Perry Mason";"2020–2023";"TV-MA";7,6;"29K";"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime."
"826. The L Word";"2004–2009";"TV-MA";7,7;"29K";"Follows the lives and loves of a small, close-knit group of lesbian women living in Los Angeles as well as the friends and family members that either support or loathe them."
"827. Future Man";"2017–2020";"TV-MA";7,6;"29K";"Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity."
"828. Boruto: Naruto Next Generations";"2017–2023";"TV-14";6,4;"29K";"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow."
"829. College Romance";"2018–2023";"TV-MA";8,3;"29K";"Three best friends look for love, laughs and some lifelong memories while attending college together."
"830. Fresh Off the Boat";"2015–2020";"TV-PG";7,8;"29K";"A Taiwanese family makes their way in America during the 1990s."
"831. Masters of the Universe: Revelation";"2021";"TV-PG";5,6;"29K";"The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith."
"832. Vincenzo";"2021";"Not Rated";8,4;"28K";"During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice."
"833. Bosch: Legacy";"2022–";"TV-MA";8,4;"28K";"Bosch embarks on the next chapter of his career and finds himself working with his one-time enemy, Honey Chandler."
"834. Runaways";"2017–2019";"TV-14";6,8;"28K";"After discovering a dark secret about their parents, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
"835. Guardian: The Lonely and Great God";"2016–2017";"TV-14";8,6;"28K";"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past."
"836. Dr. Stone";"2019–";"TV-14";8,1;"28K";"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization."
"837. Recess";"1997–2001";"TV-Y";7,8;"28K";"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority."
"838. You're the Worst";"2014–2019";"TV-MA";8,1;"28K";"Centers on two toxic, self-destructive people who fall in love and attempt a relationship."
"839. Death in Paradise";"2011–";"TV-PG";7,8;"28K";"Cultures collide when British Detective Inspector is transferred from England to the Caribbean island of Saint Marie to head the island's police department."
"840. 3%";"2016–2020";"TV-MA";7,3;"28K";"A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process."
