"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"109. Severance";"2022–";"TV-MA";8,7;"204K";"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
"110. Boardwalk Empire";"2010–2014";"TV-MA";8,6;"204K";"An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era."
"111. Fleabag";"2016–2019";"TV-MA";8,7;"203K";"Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy."
"112. The Mentalist";"2008–2015";"TV-14";8,2;"201K";"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
"113. Fullmetal Alchemist: Brotherhood";"2009–2010";"TV-14";9,1;"198K";"Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms."
"114. Love, Death & Robots";"2019–";"TV-MA";8,4;"198K";"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"115. 24";"2001–2010";"TV-14";8,4;"197K";"Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster."
"116. Gossip Girl";"2007–2012";"TV-14";7,5;"194K";"Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching."
"117. She-Hulk: Attorney at Law";"2022";"TV-14";5,3;"191K";"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
"118. The Good Place";"2016–2020";"TV-PG";8,2;"190K";"Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good."
"119. BoJack Horseman";"2014–2020";"TV-MA";8,8;"190K";"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
"120. Person of Interest";"2011–2016";"TV-14";8,5;"190K";"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
"121. That '70s Show";"1998–2006";"TV-14";8,1;"190K";"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
"122. Altered Carbon";"2018–2020";"TV-MA";7,9;"189K";"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom."
"123. Californication";"2007–2014";"TV-MA";8,3;"189K";"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women."
"124. One Punch Man";"2015–";"TV-PG";8,7;"187K";"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
"125. Rome";"2005–2007";"TV-MA";8,7;"186K";"A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic."
"126. Fallout";"2024–";"TV-MA";8,5;"181K";"In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits."
